我	r	O
想	v	O
聽	v	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O

來	zg	O
一首	m	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O

我	r	O
想	v	O
點	q	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O

我	r	O
想	v	O
唱	v	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O

我	r	O
想要	v	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O

我	r	O
想	v	O
要點	x	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O

我	r	O
要	v	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O

我	r	O
要	v	O
聽	v	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O

我	r	O
想	v	O
點	q	O
陳	nr	B_P
登	nr	M_P
志	nr	E_P
的	uj	O
歌	n	O


我	r	O
想	v	O
聽	v	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O

來	zg	O
一首	m	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O

我	r	O
想	v	O
點	q	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O

我	r	O
想	v	O
唱	v	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O

我	r	O
想要	v	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O

我	r	O
想	v	O
要點	x	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O

我	r	O
要	v	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O

我	r	O
要	v	O
聽	v	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O

我	r	O
想	v	O
點	q	O
周	nr	B_P
又	nr	M_P
尹	nr	E_P
的	uj	O
歌	n	O


我	r	O
想	v	O
聽	v	O
潘	nr	B_P
倍	nr	M_P
婷	nr	E_P
的	uj	O
歌	n	O

來	zg	O
一首	m	O
